geocode,cidade,date,indexP,indexPlower,indexPupper
2612000,saire,2019-02-10,1.18163487119818,0.571566042360725,1.97905173258231
2612000,saire,2019-02-17,1.17990299782743,0.569846003051392,1.9779375049014
2612000,saire,2019-02-24,1.18383814614576,0.584974284378781,1.97826688396573
2612000,saire,2019-03-03,1.17778791140797,0.589165796964746,1.96050266066228
2612000,saire,2019-03-10,1.17188091149135,0.606541796046864,1.92197503427905
2612000,saire,2019-03-17,1.17659525769326,0.600972898373313,1.9072012590439
2612000,saire,2019-03-24,1.18058020224732,0.595022562363182,1.89700107113799
2612000,saire,2019-03-31,1.17453195840764,0.589252941795948,1.9322096565574
2612000,saire,2019-04-07,1.17638259677257,0.592683163309121,1.91086115681535
2612000,saire,2019-04-14,1.17571539909476,0.579850558678827,1.88941206005337
2612000,saire,2019-04-21,1.1639791597407,0.570112949495841,1.86827406407109
2612000,saire,2019-04-28,1.15688931841858,0.558987963962527,1.87745753200985
2612000,saire,2019-05-05,1.14486481158666,0.54850390643832,1.86986712480703
2612000,saire,2019-05-12,1.13357010987116,0.538513205495665,1.86332598726756
2612000,saire,2019-05-19,1.12309497040254,0.530591113249462,1.85356231097637
2612000,saire,2019-05-26,1.10822357508521,0.522457372291219,1.83083869296742
2612000,saire,2019-06-02,1.09474666553653,0.513188036554316,1.81574211959562
2612000,saire,2019-06-09,1.08357124496656,0.50480735053953,1.81408770611288
2612000,saire,2019-06-16,1.07298401360515,0.499875032795105,1.79372387826807
2612000,saire,2019-06-23,1.0599283478638,0.494107987571842,1.76603159547077
2612000,saire,2019-06-30,1.04921206964659,0.485615776109123,1.77499948430212
2612000,saire,2019-07-07,1.03438034229663,0.483282698465562,1.71503006345422
2612000,saire,2019-07-14,1.01490678027606,0.479545980693452,1.66547814294763
2612000,saire,2019-07-21,0.996936071412469,0.47728336667039,1.61664843595713
2612000,saire,2019-07-28,0.977811441641765,0.474545316526651,1.58677109583809
2612000,saire,2019-08-04,0.957658565642849,0.472407769453268,1.57152642581518
2612000,saire,2019-08-11,0.943464653777279,0.469630420408726,1.56424617946026
2612000,saire,2019-08-18,0.930682168649614,0.45982161767219,1.52726991072986
2612000,saire,2019-08-25,0.914553684405968,0.460017234557458,1.53132566933946
2612000,saire,2019-09-01,0.904816349789515,0.440537663055269,1.51580575597271
2612000,saire,2019-09-08,0.89290673831676,0.418991973590724,1.50498755086403
2612000,saire,2019-09-15,0.891985088918658,0.419278674089707,1.51188776159492
2612000,saire,2019-09-22,0.88885687416179,0.419041626799575,1.52228871664241
2612000,saire,2019-09-29,0.883362518825823,0.41801864692865,1.53484878540443
2612000,saire,2019-10-06,0.878249294136166,0.415322971069704,1.54993066422892
2612000,saire,2019-10-13,0.878957896323451,0.407469043389761,1.56186283405202
2612000,saire,2019-10-20,0.880897473737992,0.39651327118239,1.58077038072077
2612000,saire,2019-10-27,0.893065697124866,0.396312103720815,1.61389979272272
2612000,saire,2019-11-03,0.898347440993863,0.386515428646544,1.65223918045649
2612000,saire,2019-11-10,0.905445471351486,0.380700388995425,1.68581103427811
2612000,saire,2019-11-17,0.92113695852375,0.381266946822516,1.72136257295548
2612000,saire,2019-11-24,0.931330720237722,0.375804452380129,1.75147619106568
2612000,saire,2019-12-01,0.943018015291795,0.37488527334875,1.77963404433219
2612000,saire,2019-12-08,0.957236278535127,0.376691577131971,1.81028916383292
2612000,saire,2019-12-15,0.967796321336555,0.376441417523007,1.83495555572761
2612000,saire,2019-12-22,0.982564355069264,0.384580029621705,1.85915767618634
2612000,saire,2019-12-29,0.995440570871191,0.386207350026217,1.88684057280724
2612000,saire,2019-12-29,1.00321199984564,0.387916385379208,1.90265820550454
2612000,saire,2020-01-05,1.01440381643854,0.397937261936909,1.91634070071568
2612000,saire,2020-01-12,1.02611488024695,0.407972024838389,1.93120613313624
2612000,saire,2020-01-19,1.03029800353162,0.409045165437561,1.93952977055837
2612000,saire,2020-01-26,1.03610973526201,0.419525488341982,1.94031246900584
2612000,saire,2020-02-02,1.05175909418013,0.437737217921757,1.95462995679574
2612000,saire,2020-02-09,1.06599544900814,0.459355332623168,1.96192007072243
